SourceLanguageCode,TargetLanguageCode,Coocurrences
abk,rus,106
abq,rus,8
ady,rus,71
afr,eng,121
afr,nld,108
akk,eng,31
alt,rus,48
ang,eng,88
ara,eng,1621
ara,fas,694
ara,fra,2085
ara,msa,1029
ara,sqi,257
ara,tur,907
ara,urd,237
arc,eng,166
asm,eng,35
ast,spa,49
ava,rus,135
aze,rus,435
bak,rus,287
bam,fra,25
bdm,fra,13
bel,rus,707
ben,asm,62
ben,eng,487
ben,guj,64
ben,hin,490
ben,mal,92
ben,ori,195
bod,eng,426
bod,fra,286
bre,fra,149
bua,rus,111
bul,eng,437
bul,rus,1113
cat,eng,878
cat,eus,313
cat,glg,215
cat,spa,5343
ces,deu,3001
ces,eng,3118
ces,hun,1355
ces,slk,3771
che,rus,62
chm,rus,97
chp,eng,18
chu,hbs,26
chv,rus,169
ckt,rus,19
cop,eng,59
cor,eng,8
cos,fra,44
cre,dak,14
cre,eng,68
cre,oji,16
crh,rus,18
cym,bre,38
cym,eng,488
dak,eng,6
dan,eng,4253
dan,fao,70
dan,iku,179
dan,isl,652
dan,kal,232
dan,nor,2247
dan,som,35
dan,swe,3462
dar,rus,61
deu,ces,17462
deu,eng,28028
deu,fra,23153
deu,gsw,52
deu,hbs,5034
deu,hun,10207
deu,ita,7795
deu,lav,1012
deu,lit,2140
deu,nld,15059
deu,pol,10116
deu,roh,223
deu,slk,2525
deu,slv,3503
djj,eng,18
djk,nld,24
dlg,rus,11
dum,eng,15
dum,nld,36
egy,eng,54
ell,eng,1669
ell,sqi,112
eng,afr,740
eng,chp,108
eng,cym,2210
eng,dan,40370
eng,deu,183329
eng,ell,16599
eng,est,11751
eng,fas,7987
eng,fil,115
eng,fin,28195
eng,fra,149788
eng,gla,204
eng,heb,8620
eng,jpn,100739
eng,kor,17110
eng,mri,310
eng,msa,3672
eng,mya,225
eng,nld,73423
eng,nor,29891
eng,pol,45183
eng,por,46826
eng,spa,128205
eng,ssw,16
eng,swe,48892
eng,tha,1080
eng,xho,22
eng,zho,40475
eng,zul,23
enm,eng,149
est,eng,1706
est,fin,394
est,rus,2306
eus,cat,117
eus,eng,98
eus,spa,620
evn,rus,18
fao,dan,42
fas,ara,168
fas,eng,631
fas,tur,173
fas,urd,64
fil,eng,67
fin,eng,1579
fin,est,952
fin,sme,22
fin,smn,6
fin,swe,2726
fra,ara,2073
fra,bam,9
fra,beh,13
fra,box,23
fra,bre,225
fra,cat,3242
fra,cme,16
fra,cos,39
fra,deu,32328
fra,dos,11
fra,ell,4830
fra,eng,28314
fra,gcf,19
fra,gcr,8
fra,gng,14
fra,ita,10982
fra,kzr,12
fra,las,9
fra,muy,9
fra,nld,11612
fra,nnh,12
fra,oci,160
fra,pcd,9
fra,por,11415
fra,rcf,13
fra,ron,4240
fra,spa,36240
fra,tur,1910
fra,wln,21
fra,wol,13
fra,xsm,20
fri,nld,102
frm,eng,72
frm,fra,117
fro,eng,155
fro,fra,369
ful,fra,17
gag,rus,11
gcf,eng,14
gcf,fra,67
gcr,fra,16
gez,eng,8
gla,eng,38
gld,rus,17
gle,deu,82
gle,eng,96
glg,cat,192
glg,eng,128
glg,spa,787
gmh,deu,351
gmh,eng,73
goh,deu,15
grc,deu,2729
grc,eng,2154
grc,flr,9
grc,ife,22
grc,ita,875
grc,lat,75
grc,mif,14
grc,spa,2502
grc,ted,7
grc,thd,10
gsc,fra,11
gsw,deu,17
guj,eng,70
guj,hin,115
hat,eng,11
hau,eng,6
haw,eng,17
hbs,eng,3899
hbs,hun,779
hbs,mkd,524
hbs,rom,31
hbs,ron,359
hbs,slk,503
hbs,slv,664
hbs,sqi,739
hbs,ukr,190
heb,deu,2107
heb,dyo,7
heb,eng,2831
heb,yid,40
hin,eng,361
hin,ori,96
hin,san,18
hit,eng,6
hns,nld,22
hop,eng,15
hun,deu,2793
hun,eng,3182
hun,epo,37
hun,rus,951
hun,slk,365
hye,eng,173
hye,rus,478
iku,dan,35
iku,eng,18
inh,rus,45
isl,dan,225
isl,deu,315
isl,eng,198
isl,swe,189
ita,cat,974
ita,deu,9472
ita,ell,1309
ita,eng,5612
ita,fra,11610
ita,hbs,2836
ita,pol,3175
ita,por,3185
ita,slv,1016
ita,spa,12497
ita,sqi,528
jpn,eng,3476
jpn,fra,8576
jpn,nep,20
jpn,new,14
jpn,zho,7196
jvn,nld,9
kaa,rus,95
kab,fra,38
kal,dan,63
kan,eng,97
kas,eng,6
kat,rus,666
kaz,rus,669
kbd,rus,102
kca,rus,16
khm,eng,12
kik,eng,10
kir,rus,366
kjh,rus,26
kom,rus,88
kor,fra,1119
kor,jpn,1243
kor,zho,1394
krc,rus,118
krl,rus,17
kum,rus,37
lad,eng,12
lao,eng,10
lat,deu,3656
lat,eng,2556
lat,fra,2792
lat,fro,12
lat,ita,1392
lat,spa,2898
lav,rus,539
lbe,rus,34
lez,rus,32
lin,fra,13
lit,eng,409
lit,pol,221
lit,rus,598
mal,eng,104
mal,tam,71
mar,eng,126
mar,hin,128
mdf,rus,88
mga,eng,9
mkd,eng,242
mkd,hbs,205
mkd,sqi,608
mkd,tur,199
mlg,fra,23
mlt,eng,11
mol,eng,655
mol,rus,1869
mon,rus,65
mri,eng,50
msa,eng,192
mya,jpn,27
myv,rus,58
nav,eng,8
nci,eng,28
nep,eng,12
nld,deu,6238
nld,eng,2855
nld,fra,3304
nld,fri,35
nld,msa,162
nog,rus,18
non,eng,41
non,nor,70
nor,dan,2974
nor,eng,1330
nor,fao,53
nor,fin,799
nor,isl,459
nor,sma,10
nor,sme,66
nor,swe,3001
oci,fra,420
oji,eng,9
ojp,rus,13
ori,eng,69
ori,hin,82
orv,rus,103
oss,rus,136
ota,eng,7
pal,eng,6
pan,eng,124
pan,hin,118
pcd,fra,18
pli,eng,117
pol,bel,130
pol,ces,1008
pol,deu,2933
pol,eng,2273
pol,lit,371
pol,rus,1560
pol,slk,484
pol,ukr,136
por,eng,2297
por,fra,1579
por,spa,2686
pro,fra,80
raj,eng,8
rcf,fra,32
roh,deu,54
ron,eng,1565
ron,fra,939
ron,hun,653
ron,rus,459
rop,eng,6
rus,abk,88
rus,abq,8
rus,ady,46
rus,alt,46
rus,amh,270
rus,ara,1534
rus,asm,99
rus,ava,57
rus,aze,1168
rus,bak,457
rus,bel,1213
rus,ben,419
rus,bua,42
rus,bul,3917
rus,che,53
rus,chm,82
rus,chv,143
rus,ckt,35
rus,crh,13
rus,dar,59
rus,eng,12385
rus,est,2062
rus,eve,12
rus,evn,8
rus,guj,118
rus,hau,24
rus,hin,553
rus,hye,1559
rus,inh,51
rus,kaa,432
rus,kan,152
rus,kat,1316
rus,kaz,1523
rus,kbd,75
rus,khm,204
rus,kir,1264
rus,kjh,14
rus,kom,22
rus,krc,89
rus,kum,55
rus,lao,212
rus,lav,1672
rus,lbe,60
rus,lez,61
rus,lit,2279
rus,mal,190
rus,mar,160
rus,mdf,32
rus,mlg,89
rus,mol,2183
rus,mon,493
rus,myv,30
rus,nep,91
rus,nog,31
rus,oss,108
rus,pan,153
rus,pus,262
rus,sah,173
rus,sin,201
rus,slk,1888
rus,swa,282
rus,tab,56
rus,tam,411
rus,tat,731
rus,tel,190
rus,tgk,786
rus,tuk,579
rus,tyv,142
rus,udm,29
rus,uig,390
rus,ukr,2127
rus,uzb,2217
rus,vie,538
rus,xal,33
sah,rus,136
san,ben,170
san,eng,1189
san,hin,508
san,kan,114
san,mal,102
san,mar,101
san,ori,75
san,tam,146
san,tel,85
sco,eng,13
sga,eng,9
sin,eng,23
slk,ces,1106
slk,eng,398
slk,hun,1104
slk,pol,335
slv,deu,476
slv,eng,465
slv,hbs,706
sme,nor,42
snd,eng,14
som,eng,11
spa,arg,24
spa,ast,44
spa,cat,3616
spa,ell,904
spa,eng,9244
spa,eus,1377
spa,fra,8387
spa,glg,823
spa,ita,2684
spa,por,5201
spa,que,14
sqi,eng,268
sqi,fra,340
srm,nld,25
srn,nld,34
sux,eng,24
swa,eng,13
swe,dan,7513
swe,eng,4502
swe,est,777
swe,fao,93
swe,fin,5594
swe,isl,582
swe,kur,103
swe,nor,6137
swe,rmu,11
swe,sme,50
swe,smj,20
syr,eng,69
tab,rus,13
tam,eng,241
tam,mal,48
tat,rus,349
tbt,fra,12
tel,eng,73
tel,tam,65
tgk,rus,281
tha,eng,41
tha,jpn,80
tkl,eng,15
tmh,fra,21
tuk,rus,259
tur,deu,689
tur,eng,295
tur,sqi,122
tyv,rus,46
tzm,fra,43
udm,rus,88
uig,rus,33
ukr,eng,411
ukr,rus,1095
urd,ben,103
urd,eng,310
uzb,rus,518
vie,eng,153
vie,fra,167
wbp,eng,15
xal,rus,136
xno,eng,8
yid,deu,305
yid,eng,384
yid,rus,164
ykg,rus,16
yor,eng,14
yrk,rus,33
zho,bod,306
zho,eng,1946
zho,hmn,25
zho,hni,11
zho,iii,18
zho,jpn,1830
zho,kac,64
zho,kaz,321
zho,kor,646
zho,lhu,30
zho,lis,78
zho,mon,1467
zho,nbf,19
zho,tiz,143
zho,uig,841
zho,wbm,27
zho,yiz,222
zho,zha,101
zul,eng,11
