Source,Target,Source Name,Target Name,Common Users,Source Population,Target Population,Total Population,Exposure,Phi-Correlation,T-Test,P-values,Over-expression
eng,msa,English,Malay (macrolanguage),994682,10859465,1651705,17694811,0.602215287,-0.007574332,-24.96094232,8.20E-138,0.9812717
msa,eng,Malay (macrolanguage),English,994682,1651705,10859465,17694811,0.091595857,-0.007574332,-24.96094232,8.20E-138,0.9812717
eng,spa,English,Spanish,707278,10859465,2043468,17694811,0.346116504,-0.198583669,-667.7046995,0,0.56397494
spa,eng,Spanish,English,707278,2043468,10859465,17694811,0.065130096,-0.198583669,-667.7046995,0,0.56397494
eng,por,English,Portuguese,664320,10859465,1617409,17694811,0.41073099,-0.132224664,-439.5888728,0,0.669260156
por,eng,Portuguese,English,664320,1617409,10859465,17694811,0.061174284,-0.132224664,-439.5888728,0,0.669260156
eng,fil,English,Filipino (macrolanguage),232316,10859465,257611,17694811,0.901809317,0.071919888,237.6179708,0,1.469441213
fil,eng,Filipino (macrolanguage),English,232316,257611,10859465,17694811,0.021392951,0.071919888,237.6179708,0,1.469441213
eng,nld,English,Dutch,226287,10859465,435128,17694811,0.520046975,-0.030543386,-100.6987366,0,0.847383635
nld,eng,Dutch,English,226287,435128,10859465,17694811,0.020837767,-0.030543386,-100.6987366,0,0.847383635
ara,eng,Arabic,English,116919,366643,10859465,17694811,0.010766552,-0.088076787,-291.3779828,0,0.519612025
eng,ara,English,Arabic,116919,10859465,366643,17694811,0.318890583,-0.088076787,-291.3779828,0,0.519612025
eng,jpn,English,Japanese,94469,10859465,2602426,17694811,0.03630036,-0.49244191,-1864.52232,0,0.059149139
jpn,eng,Japanese,English,94469,2602426,10859465,17694811,0.008699231,-0.49244191,-1864.52232,0,0.059149139
por,spa,Portuguese,Spanish,85223,1617409,2043468,17694811,0.041705082,-0.062315942,-89.25401403,0,0.456262788
spa,por,Spanish,Portuguese,85223,2043468,1617409,17694811,0.052691063,-0.062315942,-89.25401403,0,0.456262788
eng,fra,English,French,79580,10859465,147843,17694811,0.538273709,-0.014221174,-46.86876866,0,0.877082946
fra,eng,French,English,79580,147843,10859465,17694811,0.007328169,-0.014221174,-46.86876866,0,0.877082946
fil,msa,Filipino (macrolanguage),Malay (macrolanguage),76695,257611,1651705,17694811,0.046433837,0.085388877,110.1428627,0,3.189452165
msa,fil,Malay (macrolanguage),Filipino (macrolanguage),76695,1651705,257611,17694811,0.297716324,0.085388877,110.1428627,0,3.189452165
msa,por,Malay (macrolanguage),Portuguese,75015,1651705,1617409,17694811,0.046379735,-0.051204164,-65.89331214,0,0.496868773
por,msa,Portuguese,Malay (macrolanguage),75015,1617409,1651705,17694811,0.045416706,-0.051204164,-65.89331214,0,0.496868773
msa,spa,Malay (macrolanguage),Spanish,47621,1651705,2043468,17694811,0.023304011,-0.086994109,-124.8312063,0,0.249657211
spa,msa,Spanish,Malay (macrolanguage),47621,2043468,1651705,17694811,0.02883142,-0.086994109,-124.8312063,0,0.249657211
eng,tur,English,Turkish,47186,10859465,233158,17694811,0.202377787,-0.097619286,-323.2354867,0,0.329761796
tur,eng,Turkish,English,47186,233158,10859465,17694811,0.00434515,-0.097619286,-323.2354867,0,0.329761796
eng,ita,English,Italian,46756,10859465,89242,17694811,0.523923713,-0.013128839,-43.26810977,0,0.853700535
ita,eng,Italian,English,46756,89242,10859465,17694811,0.004305553,-0.013128839,-43.26810977,0,0.853700535
eng,tha,English,Thai,39347,10859465,154171,17694811,0.25521661,-0.069027166,-228.013912,0,0.415859315
tha,eng,Thai,English,39347,154171,10859465,17694811,0.003623291,-0.069027166,-228.013912,0,0.415859315
eng,kor,English,Korean,39286,10859465,289982,17694811,0.135477374,-0.126779901,-421.1852697,0,0.220751808
kor,eng,Korean,English,39286,289982,10859465,17694811,0.003617674,-0.126779901,-421.1852697,0,0.220751808
deu,eng,German,English,36862,73897,10859465,17694811,0.003394458,-0.015279299,-50.35681972,0,0.812811024
eng,deu,English,German,36862,10859465,73897,17694811,0.498829452,-0.015279299,-50.35681972,0,0.812811024
eng,rus,English,Russian,29972,10859465,243159,17694811,0.123260912,-0.118899882,-394.6184198,0,0.200845855
rus,eng,Russian,English,29972,243159,10859465,17694811,0.002759989,-0.118899882,-394.6184198,0,0.200845855
cat,spa,Catalan,Spanish,24363,32376,2043468,17694811,0.011922379,0.085334392,122.431973,0,6.516068796
spa,cat,Spanish,Catalan,24363,2043468,32376,17694811,0.752501853,0.085334392,122.431973,0,6.516068796
afr,nld,Afrikaans,Dutch,22607,24782,435128,17694811,0.051954827,0.214639358,144.9634899,0,37.09671721
nld,afr,Dutch,Afrikaans,22607,435128,24782,17694811,0.912234686,0.214639358,144.9634899,0,37.09671721
afr,eng,Afrikaans,English,21357,24782,10859465,17694811,0.001966671,0.019081521,62.89211985,0,1.404240173
eng,afr,English,Afrikaans,21357,10859465,24782,17694811,0.861794851,0.019081521,62.89211985,0,1.404240173
ces,eng,Czech,English,20923,24573,10859465,17694811,0.001926706,0.018209463,60.01686799,0,1.387405056
eng,ces,English,Czech,20923,10859465,24573,17694811,0.851462988,0.018209463,60.01686799,0,1.387405056
jpn,kor,Japanese,Korean,19684,2602426,289982,17694811,0.067880075,-0.028861168,-46.57832719,0,0.461540541
kor,jpn,Korean,Japanese,19684,289982,2602426,17694811,0.007563712,-0.028861168,-46.57832719,0,0.461540541
fil,spa,Filipino (macrolanguage),Spanish,16655,257611,2043468,17694811,0.00815036,-0.019331682,-27.63977599,1.99E-168,0.559832775
spa,fil,Spanish,Filipino (macrolanguage),16655,2043468,257611,17694811,0.064651742,-0.019331682,-27.63977599,1.99E-168,0.559832775
eng,swe,English,Swedish,15716,10859465,36604,17694811,0.429351983,-0.017239003,-56.81733419,0,0.699601886
swe,eng,Swedish,English,15716,36604,10859465,17694811,0.001447217,-0.017239003,-56.81733419,0,0.699601886
ell,jpn,Modern Greek (1453-),Japanese,15559,30609,2602426,17694811,0.005978652,0.042457386,68.55419993,0,3.45620965
jpn,ell,Japanese,Modern Greek (1453-),15559,2602426,30609,17694811,0.508314548,0.042457386,68.55419993,0,3.45620965
fil,por,Filipino (macrolanguage),Portuguese,12611,257611,1617409,17694811,0.007797038,-0.0179049,-22.77462262,4.27E-115,0.535563776
por,fil,Portuguese,Filipino (macrolanguage),12611,1617409,257611,17694811,0.048953655,-0.0179049,-22.77462262,4.27E-115,0.535563776
ell,eng,Modern Greek (1453-),English,12196,30609,10859465,17694811,0.001123076,-0.018403933,-60.65804213,0,0.649240753
eng,ell,English,Modern Greek (1453-),12196,10859465,30609,17694811,0.398444902,-0.018403933,-60.65804213,0,0.649240753
cat,eng,Catalan,English,11457,32376,10859465,17694811,0.001055024,-0.022847922,-75.31201623,0,0.57661405
eng,cat,English,Catalan,11457,10859465,32376,17694811,0.353873239,-0.022847922,-75.31201623,0,0.57661405
kor,msa,Korean,Malay (macrolanguage),11281,289982,1651705,17694811,0.006829912,-0.02415556,-31.05344854,5.90E-212,0.416763813
msa,kor,Malay (macrolanguage),Korean,11281,1651705,289982,17694811,0.038902415,-0.02415556,-31.05344854,5.90E-212,0.416763813
eng,zho,English,Chinese,9589,10859465,24113,17694811,0.397669307,-0.016390561,-54.02021772,0,0.64797697
zho,eng,Chinese,English,9589,24113,10859465,17694811,0.000883009,-0.016390561,-54.02021772,0,0.64797697
ita,spa,Italian,Spanish,9509,89242,2043468,17694811,0.004653364,-0.001989522,-2.844023898,0.002227407,0.922664136
spa,ita,Spanish,Italian,9509,2043468,89242,17694811,0.106552968,-0.001989522,-2.844023898,0.002227407,0.922664136
eng,nor,English,Norwegian,9401,10859465,16500,17694811,0.569757576,-0.002757758,-9.087866948,5.05E-20,0.928383914
nor,eng,Norwegian,English,9401,16500,10859465,17694811,0.000865696,-0.002757758,-9.087866948,5.05E-20,0.928383914
dan,eng,Danish,English,9126,12029,10859465,17694811,0.000840373,0.007765005,25.58933582,1.01E-144,1.236199142
eng,dan,English,Danish,9126,10859465,12029,17694811,0.758666556,0.007765005,25.58933582,1.01E-144,1.236199142
fil,nld,Filipino (macrolanguage),Dutch,8932,257611,435128,17694811,0.020527293,0.007912241,5.219400216,8.98E-08,1.409980832
nld,fil,Dutch,Filipino (macrolanguage),8932,435128,257611,17694811,0.034672432,0.007912241,5.219400216,8.98E-08,1.409980832
ara,msa,Arabic,Malay (macrolanguage),8834,366643,1651705,17694811,0.005348413,-0.034625738,-44.52721386,0,0.258123439
msa,ara,Malay (macrolanguage),Arabic,8834,1651705,366643,17694811,0.024094282,-0.034625738,-44.52721386,0,0.258123439
msa,nld,Malay (macrolanguage),Dutch,6888,1651705,435128,17694811,0.015829825,-0.042306673,-54.42066759,0,0.169585827
nld,msa,Dutch,Malay (macrolanguage),6888,435128,1651705,17694811,0.004170236,-0.042306673,-54.42066759,0,0.169585827
msa,tur,Malay (macrolanguage),Turkish,6498,1651705,233158,17694811,0.027869513,-0.026007,-33.43514073,2.56E-245,0.298567705
tur,msa,Turkish,Malay (macrolanguage),6498,233158,1651705,17694811,0.003934117,-0.026007,-33.43514073,2.56E-245,0.298567705
eng,hbs,English,Serbo-Croatian,5564,10859465,8152,17694811,0.682531894,0.003034614,10.0002226,7.60E-24,1.112142529
hbs,eng,Serbo-Croatian,English,5564,8152,10859465,17694811,0.000512364,0.003034614,10.0002226,7.60E-24,1.112142529
ita,por,Italian,Portuguese,5554,89242,1617409,17694811,0.003433887,-0.007206635,-9.165443261,2.47E-20,0.680867577
por,ita,Portuguese,Italian,5554,1617409,89242,17694811,0.06223527,-0.007206635,-9.165443261,2.47E-20,0.680867577
eng,glg,English,Galician,5351,10859465,9302,17694811,0.575252634,-0.001811379,-5.969172504,1.19E-09,0.937337763
glg,eng,Galician,English,5351,9302,10859465,17694811,0.00049275,-0.001811379,-5.969172504,1.19E-09,0.937337763
glg,por,Galician,Portuguese,5337,9302,1617409,17694811,0.003299722,0.038385067,48.85310183,0,6.276925014
por,glg,Portuguese,Galician,5337,1617409,9302,17694811,0.573747581,0.038385067,48.85310183,0,6.276925014
eng,swa,English,Swahili (macrolanguage),5244,10859465,5636,17694811,0.930447126,0.011611638,38.26722269,0,1.51610471
swa,eng,Swahili (macrolanguage),English,5244,5636,10859465,17694811,0.000482897,0.011611638,38.26722269,0,1.51610471
eng,pol,English,Polish,5066,10859465,8207,17694811,0.617277933,0.000157895,0.520322327,0.301419474,1.00581533
pol,eng,Polish,English,5066,8207,10859465,17694811,0.000466505,0.000157895,0.520322327,0.301419474,1.00581533
eng,lav,English,Latvian,5047,10859465,13573,17694811,0.371841155,-0.013763257,-45.35931866,0,0.605891631
lav,eng,Latvian,English,5047,13573,10859465,17694811,0.000464756,-0.013763257,-45.35931866,0,0.605891631
ces,por,Czech,Portuguese,4937,24573,1617409,17694811,0.003052413,0.014170097,18.02295831,6.54E-73,2.19801686
por,ces,Portuguese,Czech,4937,1617409,24573,17694811,0.20091157,0.014170097,18.02295831,6.54E-73,2.19801686
glg,spa,Galician,Spanish,4838,9302,2043468,17694811,0.002367544,0.029034346,41.52206,0,4.503680943
spa,glg,Spanish,Galician,4838,2043468,9302,17694811,0.520103204,0.029034346,41.52206,0,4.503680943
kor,tha,Korean,Thai,4800,289982,154171,17694811,0.03113426,0.010888974,5.864037644,2.26E-09,1.899824287
tha,kor,Thai,Korean,4800,154171,289982,17694811,0.016552752,0.010888974,5.864037644,2.26E-09,1.899824287
eng,vie,English,Vietnamese,4398,10859465,6150,17694811,0.715121951,0.003883693,12.79830202,8.38E-38,1.165245965
vie,eng,Vietnamese,English,4398,6150,10859465,17694811,0.000404992,0.003883693,12.79830202,8.38E-38,1.165245965
fra,spa,French,Spanish,4208,147843,2043468,17694811,0.002059244,-0.02499261,-35.7380617,6.19E-280,0.24646375
spa,fra,Spanish,French,4208,2043468,147843,17694811,0.028462626,-0.02499261,-35.7380617,6.19E-280,0.24646375
jpn,rus,Japanese,Russian,4092,2602426,243159,17694811,0.016828495,-0.043407378,-70.09097752,0,0.114422864
rus,jpn,Russian,Japanese,4092,243159,2602426,17694811,0.001572379,-0.043407378,-70.09097752,0,0.114422864
ces,msa,Czech,Malay (macrolanguage),4064,24573,1651705,17694811,0.002460488,0.009234673,11.86877822,8.62E-33,1.771776607
