name,num.exps,num.users,avg.exp.per.user,num.exp.by.polys,num.polys,avg.exp.per.poly,total.users,total.polys
tel,1408,102,13.80392157,474,80,5.925,17694811,3275235
dan,64537,12029,5.365117632,54764,11075,4.9448307,17694811,3275235
ron,73428,5040,14.56904762,42884,3440,12.46627907,17694811,3275235
jpn,91669691,2602426,35.2247061,14746645,124833,118.130983,17694811,3275235
gle,1534,359,4.272980501,1354,344,3.936046512,17694811,3275235
ori,238,3,79.33333333,2,1,2,17694811,3275235
por,46520572,1617409,28.76240456,31866460,708142,45.00009885,17694811,3275235
ita,1586225,89242,17.77442236,1094603,52558,20.82657255,17694811,3275235
ara,9993172,366643,27.2558647,4013588,119350,33.62872225,17694811,3275235
pol,167597,8207,20.42122578,125844,5173,24.32708293,17694811,3275235
nld,10526980,435128,24.19283521,7934851,231807,34.23042013,17694811,3275235
tam,40693,1432,28.41689944,28837,954,30.22746331,17694811,3275235
mya,853,49,17.40816327,367,29,12.65517241,17694811,3275235
spa,44195979,2043468,21.62792811,24331382,769887,31.60383537,17694811,3275235
glg,26035,9302,2.79886046,25574,9257,2.762666091,17694811,3275235
eus,12104,1950,6.207179487,9117,1687,5.404267931,17694811,3275235
yid,86,25,3.44,68,24,2.833333333,17694811,3275235
fra,3434065,147843,23.22778217,2521007,84199,29.94105631,17694811,3275235
mkd,10455,890,11.74719101,7190,700,10.27142857,17694811,3275235
aze,12794,1261,10.14591594,9330,1088,8.575367647,17694811,3275235
ell,526527,30609,17.20170538,281513,21830,12.895694,17694811,3275235
eng,255351176,10859465,23.51415802,40902582,3129456,13.0701892,17694811,3275235
swa,32737,5636,5.808552165,32102,5574,5.759239325,17694811,3275235
vie,144500,6150,23.49593496,107501,4464,24.08176523,17694811,3275235
swe,596130,36604,16.28592504,328201,16144,20.32959613,17694811,3275235
ukr,33231,2842,11.69282196,21042,2177,9.665594855,17694811,3275235
lit,7629,696,10.9612069,4746,508,9.342519685,17694811,3275235
chr,75,14,5.357142857,75,14,5.357142857,17694811,3275235
hin,12021,1171,10.26558497,7673,977,7.853633572,17694811,3275235
heb,77937,3384,23.03102837,35135,1550,22.66774194,17694811,3275235
pan,853,218,3.912844037,715,205,3.487804878,17694811,3275235
kor,11674755,289982,40.26027478,2336502,56893,41.06835639,17694811,3275235
fin,41165,3856,10.67557054,26575,3007,8.837712005,17694811,3275235
hun,92093,4804,19.17006661,59643,2660,22.42218045,17694811,3275235
msa,49546710,1651705,29.99731187,39692200,1033758,38.39602692,17694811,3275235
amh,279,16,17.4375,224,11,20.36363636,17694811,3275235
lao,439,91,4.824175824,291,80,3.6375,17694811,3275235
iku,21,6,3.5,21,6,3.5,17694811,3275235
fas,79657,2719,29.29643251,43850,1232,35.59253247,17694811,3275235
tur,4660694,233158,19.98942348,1841930,51929,35.47016118,17694811,3275235
slk,16657,3657,4.55482636,14164,3392,4.175707547,17694811,3275235
kan,790,101,7.821782178,315,92,3.423913043,17694811,3275235
syr,22,8,2.75,22,8,2.75,17694811,3275235
sqi,26682,5155,5.175945684,18237,4807,3.793842313,17694811,3275235
est,22197,2078,10.68190568,10352,1055,9.812322275,17694811,3275235
ces,94324,24573,3.838521955,79967,23176,3.450422851,17694811,3275235
bod,396,40,9.9,77,23,3.347826087,17694811,3275235
bul,23252,1633,14.23882425,14300,1050,13.61904762,17694811,3275235
kat,5087,416,12.22836538,2916,268,10.88059701,17694811,3275235
rus,4577942,243159,18.82694862,1076913,35833,30.05366562,17694811,3275235
lav,168312,13573,12.40050099,76287,5280,14.44829545,17694811,3275235
fil,1905619,257611,7.397273408,1854704,250959,7.390466172,17694811,3275235
div,519,44,11.79545455,322,37,8.702702703,17694811,3275235
mal,5830,216,26.99074074,2578,146,17.65753425,17694811,3275235
nor,170430,16500,10.32909091,122592,11126,11.01851519,17694811,3275235
sin,2977,169,17.61538462,2483,148,16.77702703,17694811,3275235
urd,7127,488,14.6045082,5625,439,12.81321185,17694811,3275235
cym,5336,910,5.863736264,4289,828,5.179951691,17694811,3275235
hye,6391,253,25.26086957,1771,140,12.65,17694811,3275235
bel,2015,256,7.87109375,1601,221,7.244343891,17694811,3275235
hat,22204,2600,8.54,21305,2496,8.535657051,17694811,3275235
slv,21468,2230,9.62690583,11870,1267,9.368587214,17694811,3275235
deu,1705256,73897,23.07611946,1053413,38388,27.44120559,17694811,3275235
cat,236424,32376,7.302446256,185625,27431,6.766978965,17694811,3275235
ben,4247,178,23.85955056,2545,110,23.13636364,17694811,3275235
afr,69009,24782,2.784642079,67775,24640,2.750608766,17694811,3275235
mlt,2838,1156,2.455017301,2772,1150,2.410434783,17694811,3275235
guj,791,66,11.98484848,272,48,5.666666667,17694811,3275235
tha,7449790,154171,48.32160393,3932590,40935,96.06913399,17694811,3275235
hbs,54889,8152,6.733194308,41398,6807,6.081680623,17694811,3275235
isl,5391,588,9.168367347,2994,360,8.316666667,17694811,3275235
zho,453837,24113,18.82125824,167628,11757,14.25771881,17694811,3275235
khm,772,37,20.86486486,182,24,7.583333333,17694811,3275235
